step,action,code,prediction,outcome,status,valence,i_length,e_length,nb_schemas
0,,0,1,1,success,-1,1,1,27
1,sniff_front,0,0,2,fail,-1,1,0,28
2,sniff_front,0,0,2,fail,-1,1,0,31
3,forward,1,0,2,fail,10,1,0,35
4,sniff_front,0,0,2,fail,-1,1,0,39
5,forward,1,2,2,success,10,2,1,39
6,sniff_front,0,2,2,success,-1,2,2,42
7,forward,1,2,0,fail,-1,2,0,46
8,sniff_front,0,0,3,fail,-1,1,0,50
9,sniff_front,0,0,3,fail,-1,1,0,54
10,forward,1,0,3,fail,-10,1,0,58
11,sniff_front,0,0,3,fail,-1,1,0,62
12,sniff_left,2,0,3,fail,-1,1,0,66
13,sniff_front,0,0,3,fail,-1,1,0,70
14,sniff_right,3,0,2,fail,-1,1,0,74
15,sniff_front,0,0,3,fail,-1,1,0,78
16,turn_right,4,0,2,fail,-1,1,0,82
17,sniff_front,0,0,2,fail,-1,1,0,86
18,forward,1,2,0,fail,-1,3,0,90
19,forward,1,0,0,success,-1,1,1,94
20,sniff_left,2,0,3,fail,-1,1,0,98
21,forward,1,0,3,fail,-10,1,0,102
22,forward,1,0,3,fail,-10,1,0,106
23,sniff_left,2,0,3,fail,-1,1,0,110
24,sniff_left,2,0,3,fail,-1,1,0,114
25,sniff_right,3,0,0,success,-1,1,1,118
26,sniff_front,0,0,3,fail,-1,1,0,122
27,turn_left,5,0,1,fail,-3,1,0,126
28,sniff_front,0,0,3,fail,-1,1,0,130
29,sniff_front,0,0,3,fail,-1,1,0,133
30,sniff_left,2,0,2,fail,-1,1,0,137
31,sniff_front,0,0,3,fail,-1,1,0,141
32,sniff_right,3,0,3,fail,-1,1,0,145
33,sniff_front,0,0,3,fail,-1,1,0,149
34,turn_right,4,2,1,fail,-3,1,0,153
35,sniff_front,0,0,3,fail,-1,1,0,157
36,sniff_front,0,0,3,fail,-1,1,0,160
37,sniff_left,2,0,3,fail,-1,1,0,163
38,turn_right,4,0,2,fail,-1,1,0,167
39,forward,1,0,0,success,-1,1,1,171
40,sniff_right,3,0,3,fail,-1,1,0,175
41,forward,1,0,3,fail,-10,1,0,179
42,sniff_right,3,0,3,fail,-1,1,0,183
